"tissue","sample","individual","cor","dev","outlier"
"PONS","GSM395105","4915",0.566770485610169,39135.3826339063,TRUE
"CRBLM","GSM394938","1830",0.698932665261943,34925.9398312832,TRUE
"FCTX","GSM394962","4788",0.755374375750954,31382.4098977059,TRUE
"PONS","GSM395094","1344",0.762406860609266,29517.5278085552,TRUE
"CRBLM","GSM394814","4788",0.807807491570624,23948.2507255731,TRUE
"TCTX","GSM395376","1344",0.749667504114275,22735.0345892705,TRUE
"CRBLM","GSM394890","1846",0.857545057174074,14630.1408944604,TRUE
"TCTX","GSM395249","4841",0.82167324104131,13078.0798162725,TRUE
"TCTX","GSM395254","4788",0.862927759062246,11710.7179740479,TRUE
"FCTX","GSM395036","1830",0.885443804167429,11316.1523483303,TRUE
"CRBLM","GSM394802","1570",0.876893677139307,11120.7149005732,TRUE
"CRBLM","GSM394839","1037",0.871671654339453,10883.115737162,TRUE
"CRBLM","GSM394799","1344",0.89942166682057,10777.8748768977,TRUE
"FCTX","GSM394958","4915",0.87677568547734,10640.636517,TRUE
"TCTX","GSM395330","1830",0.874671190155667,10422.4685745919,TRUE
"FCTX","GSM394947","1344",0.877297404778312,10308.6146953115,TRUE
"CRBLM","GSM394937","1825",0.910077332939911,9664.32418660468,TRUE
"CRBLM","GSM394801","1498",0.904037083785453,9444.90286120783,TRUE
"FCTX","GSM394987","1037",0.886477681652267,8905.82118385701,FALSE
"CRBLM","GSM394874","1614",0.908257970068501,8468.10347682505,FALSE
"FCTX","GSM394954","1847",0.908123966450019,8377.16723239727,FALSE
"FCTX","GSM394957","4841",0.896088528756444,8298.50104250318,FALSE
"CRBLM","GSM394854","1260",0.906712215753164,8213.01442505468,FALSE
"PONS","GSM395114","5087",0.890136886749571,7983.93240112535,FALSE
"CRBLM","GSM394910","2069",0.904229274248331,7974.2805360791,FALSE
"PONS","GSM395184","1830",0.904381575032516,7862.83512216553,FALSE
"CRBLM","GSM394861","1535",0.919936922445828,7648.80314848977,FALSE
"FCTX","GSM394955","1865",0.920359981935716,7624.9462017567,FALSE
"CRBLM","GSM394806","1847",0.912572486066603,7591.03166327717,FALSE
"TCTX","GSM395377","4915",0.897294458807167,7530.27620804578,FALSE
"PONS","GSM395169","1613",0.908056566205934,7456.44686905402,FALSE
"TCTX","GSM395353","2093",0.891122658885611,7433.36290474253,FALSE
"TCTX","GSM395352","2069",0.903511695058809,7314.371986614,FALSE
"CRBLM","GSM394830","827",0.916109293976038,7240.51470214379,FALSE
"CRBLM","GSM394889","1840",0.923875392846069,6965.36821859079,FALSE
"PONS","GSM395097","1570",0.918952647735019,6809.37112472501,FALSE
"FCTX","GSM394949","1498",0.925646004996885,6740.29635518446,FALSE
"CRBLM","GSM394810","4915",0.922609956539945,6669.67921955482,FALSE
"CRBLM","GSM394813","4786",0.921730549342916,6604.00539057652,FALSE
"CRBLM","GSM394803","1584",0.925808779179071,6574.19138389366,FALSE
"TCTX","GSM395242","1570",0.918819866690567,6414.61486972211,FALSE
"TCTX","GSM395256","5081",0.916654649768162,6374.92491049592,FALSE
"FCTX","GSM394964","5081",0.941903727429693,6363.35491738884,FALSE
"CRBLM","GSM394842","1076",0.927829833084143,6357.90314043813,FALSE
"FCTX","GSM395023","1614",0.925470116703776,6344.6585566582,FALSE
"FCTX","GSM394950","1570",0.933011450374484,6164.54436021765,FALSE
"FCTX","GSM394945","1158",0.959065370461587,5978.35584922893,FALSE
"CRBLM","GSM394816","5081",0.939062854554096,5951.89592871056,FALSE
"PONS","GSM395112","5081",0.921923620687492,5584.8770892716,FALSE
"PONS","GSM395101","1847",0.923527709247798,5486.45700660906,FALSE
"TCTX","GSM395248","1866",0.933028306723799,5393.15013099041,FALSE
"TCTX","GSM395246","1847",0.931217299581865,5360.77283272678,FALSE
"TCTX","GSM395314","1614",0.933283785505716,5211.444998519,FALSE
"PONS","GSM395103","1866",0.92500277675962,5076.3432344713,FALSE
"PONS","GSM395104","4841",0.924579838037592,4939.68004463808,FALSE
"TCTX","GSM395335","1862",0.933049988700904,4873.65678327246,FALSE
"PONS","GSM395186","1840",0.93373375150658,4868.15299218289,FALSE
"TCTX","GSM395313","1613",0.936225647430973,4771.45330955735,FALSE
"CRBLM","GSM394797","1158",0.96358592313913,4679.12880154726,FALSE
"PONS","GSM395190","1862",0.931605248181635,4614.46324656641,FALSE
"PONS","GSM395170","1614",0.930436205718536,4555.99588247214,FALSE
"TCTX","GSM395263","710",0.943934581163173,4396.51430544344,FALSE
"CRBLM","GSM394892","1862",0.950898567547619,4218.9876283687,FALSE
"TCTX","GSM395332","1840",0.946958705085785,4187.60258837814,FALSE
"TCTX","GSM395312","1612",0.944944197582727,4142.74678660571,FALSE
"PONS","GSM395151","1454",0.942274918958341,4043.34801013314,FALSE
"PONS","GSM395108","4782",0.94277730918177,3991.76322676575,FALSE
"FCTX","GSM395001","1209",0.968326726320013,3967.73171932245,FALSE
"FCTX","GSM395038","1840",0.953131542945793,3954.10368099278,FALSE
"PONS","GSM395177","1713",0.944848386705307,3949.42590169671,FALSE
"PONS","GSM395100","1839",0.943736223521604,3939.30749524376,FALSE
"PONS","GSM395216","4640",0.942547160438402,3913.38481625308,FALSE
"CRBLM","GSM394893","1883",0.95559713142409,3774.84590648333,FALSE
"CRBLM","GSM394923","4725",0.956636790509106,3664.40454622334,FALSE
"TCTX","GSM395375","1158",0.952335941903617,3617.25537829861,FALSE
"FCTX","GSM395003","1260",0.955254782086741,3571.99448659601,FALSE
"PONS","GSM395110","4788",0.948768148835734,3565.62897344466,FALSE
"TCTX","GSM395241","1498",0.95253320177702,3563.16786427419,FALSE
"FCTX","GSM395021","1612",0.957809956324662,3541.21970979444,FALSE
"TCTX","GSM395297","1486",0.950640638441996,3502.92824628672,FALSE
"TCTX","GSM395268","813",0.949308539119415,3462.46632567586,FALSE
"CRBLM","GSM394808","1866",0.966670474913359,3388.78461544144,FALSE
"FCTX","GSM395022","1613",0.958288606320641,3344.94550406118,FALSE
"CRBLM","GSM394873","1613",0.960576527645034,3340.78951176347,FALSE
"PONS","GSM395162","1571",0.948662924868198,3309.09106042097,FALSE
"TCTX","GSM395296","1465",0.953675474627523,3275.031581451,FALSE
"FCTX","GSM395009","1535",0.959542448773752,3262.1400419396,FALSE
"PONS","GSM395193","1907",0.95716200089667,3259.31901891651,FALSE
"CRBLM","GSM394804","1805",0.961094757607281,3239.39371013201,FALSE
"PONS","GSM395152","1465",0.949419064645929,3238.1018409005,FALSE
"TCTX","GSM395247","1865",0.960578702366633,3219.10914797161,FALSE
"TCTX","GSM395261","604",0.956936980721036,3194.87122609274,FALSE
"PONS","GSM395234","1902",0.951916626438197,3141.19558230792,FALSE
"PONS","GSM395192","1889",0.951061761490596,3135.43336670844,FALSE
"PONS","GSM395183","1825",0.953628012018423,3101.06878601081,FALSE
"TCTX","GSM395239","1230",0.969991851695223,3090.15001879085,FALSE
"PONS","GSM395093","1230",0.954810631377215,3082.44783286951,FALSE
"PONS","GSM395136","1064",0.956814027354494,3073.21725397974,FALSE
"FCTX","GSM394956","1866",0.964063202996276,2997.53835329261,FALSE
"PONS","GSM395096","1498",0.956669255803695,2977.47554300869,FALSE
"CRBLM","GSM394858","1486",0.964147724594216,2975.10244651131,FALSE
"PONS","GSM395218","4726",0.960154377584881,2967.69809472398,FALSE
"PONS","GSM395208","4263",0.955252981467714,2914.34596372119,FALSE
"PONS","GSM395109","4786",0.95711987356008,2882.314825115,FALSE
"TCTX","GSM395360","4549",0.962185153978965,2816.65152954296,FALSE
"FCTX","GSM395030","1713",0.968929097454978,2807.66625641405,FALSE
"PONS","GSM395209","4540",0.959957849824332,2780.67164417543,FALSE
"PONS","GSM395117","604",0.958984410297889,2756.15723442595,FALSE
"PONS","GSM395106","1867",0.960459245261383,2743.22782717382,FALSE
"TCTX","GSM395333","1846",0.963131284284527,2717.95065051232,FALSE
"CRBLM","GSM394935","1133",0.971105667043369,2705.47827646726,FALSE
"TCTX","GSM395300","1535",0.960902284409183,2697.66851031477,FALSE
"PONS","GSM395168","1612",0.960895600586031,2682.63406179243,FALSE
"CRBLM","GSM394940","4903",0.971451547239949,2651.51088377533,FALSE
"FCTX","GSM394981","880",0.968322361170885,2643.16230512525,FALSE
"TCTX","GSM395253","4786",0.962873848570371,2591.10563174195,FALSE
"FCTX","GSM395041","1862",0.975999963227002,2587.42475849551,FALSE
"FCTX","GSM395039","1846",0.97084188302254,2554.39209467005,FALSE
"FCTX","GSM394952","1805",0.970879537645482,2531.53430112461,FALSE
"PONS","GSM395188","1846",0.968337109407587,2513.01779668143,FALSE
"FCTX","GSM395082","1583",0.969713338492734,2476.85110352106,FALSE
"CRBLM","GSM394942","1867",0.980609175725475,2472.50529250468,FALSE
"PONS","GSM395138","1076",0.962082995537825,2472.04936643668,FALSE
"PONS","GSM395092","1158",0.976680490545474,2441.11894718044,FALSE
"FCTX","GSM394999","1170",0.969714797736028,2428.84415367502,FALSE
"PONS","GSM395139","1078",0.966033068813146,2425.73804568138,FALSE
"TCTX","GSM395322","1713",0.969495476289522,2424.85013506186,FALSE
"PONS","GSM395153","1486",0.96419466761811,2405.08288575924,FALSE
"FCTX","GSM395058","2069",0.969871165808043,2377.80301976599,FALSE
"PONS","GSM395116","384",0.963753018263384,2341.34965510181,FALSE
"PONS","GSM395228","1583",0.965655494494405,2268.81510717941,FALSE
"PONS","GSM395098","1584",0.96558445958877,2244.8570703419,FALSE
"PONS","GSM395156","1535",0.966380377267178,2212.35583287534,FALSE
"PONS","GSM395223","4924",0.968285623394662,2197.79239631397,FALSE
"PONS","GSM395226","5078",0.968753820472108,2183.64999437934,FALSE
"TCTX","GSM395338","1902",0.96998353154286,2172.2741659873,FALSE
"PONS","GSM395222","4916",0.966429000504569,2159.42152601121,FALSE
"TCTX","GSM395359","4545",0.975489740440022,2081.21755762413,FALSE
"TCTX","GSM395244","1805",0.972149369467871,2080.91182616573,FALSE
"PONS","GSM395161","1568",0.969741238116927,2068.2184506701,FALSE
"CRBLM","GSM394872","1612",0.976647089162211,2056.95360594631,FALSE
"PONS","GSM395141","1104",0.970694717716941,2053.56948661486,FALSE
"PONS","GSM395157","1540",0.968674296247517,2050.1093434332,FALSE
"PONS","GSM395099","1805",0.970473438585043,2046.39976107591,FALSE
"FCTX","GSM394946","1230",0.978450832204112,2042.01339195726,FALSE
"FCTX","GSM395066","4549",0.976708814131454,2029.6260778125,FALSE
"CRBLM","GSM394882","1713",0.976072875505076,2021.44530990643,FALSE
"PONS","GSM395125","819",0.969366468750636,2018.51143542273,FALSE
"PONS","GSM395189","1849",0.96936042812355,2015.01089370828,FALSE
"FCTX","GSM395006","1465",0.97790408826737,1993.92265716078,FALSE
"FCTX","GSM394988","1064",0.976080422327112,1973.86831232286,FALSE
"PONS","GSM395206","2093",0.972007941514832,1950.38958382179,FALSE
"PONS","GSM395102","1865",0.97230705753014,1944.53056786681,FALSE
"CRBLM","GSM394924","4726",0.976095152730825,1944.03858858097,FALSE
"PONS","GSM395198","1936",0.97222274170829,1931.56974534159,FALSE
"CRBLM","GSM394811","4729",0.979525589581018,1907.15996256387,FALSE
"PONS","GSM395107","4729",0.970362762825927,1900.90979681709,FALSE
"PONS","GSM395237","5079",0.971745077171912,1898.41921014587,FALSE
"PONS","GSM395220","4842",0.972478193396594,1895.86596012793,FALSE
"PONS","GSM395144","1133",0.973928371582322,1877.7258538148,FALSE
"PONS","GSM395191","1883",0.970974822123969,1869.53828996692,FALSE
"PONS","GSM395164","1579",0.975110146495968,1860.17832330538,FALSE
"PONS","GSM395118","705",0.972210806209842,1839.90195158503,FALSE
"PONS","GSM395197","1935",0.973206197933275,1838.32431229423,FALSE
"PONS","GSM395199","1939",0.972183136533157,1832.70347765983,FALSE
"PONS","GSM395217","4725",0.972888152537215,1820.58550522457,FALSE
"TCTX","GSM395294","1260",0.973873216289553,1820.34434483069,FALSE
"FCTX","GSM394953","1839",0.982736393748866,1815.74001259024,FALSE
"FCTX","GSM395044","1902",0.977838993768275,1805.58167009663,FALSE
"CRBLM","GSM394812","4782",0.978001560770775,1792.64673448591,FALSE
"PONS","GSM395129","880",0.972732241128872,1760.18630391121,FALSE
"CRBLM","GSM394818","5087",0.979516389802572,1744.33192770851,FALSE
"PONS","GSM395095","1361",0.974909123002825,1731.99844028124,FALSE
"CRBLM","GSM394807","1865",0.982579124197164,1730.43727665355,FALSE
"CRBLM","GSM394798","1230",0.979361942469007,1724.78222197249,FALSE
"PONS","GSM395230","602",0.973890807115898,1711.98543419902,FALSE
"CRBLM","GSM394805","1839",0.986858198440653,1711.73673074569,FALSE
"PONS","GSM395158","1544",0.974039497811582,1701.93594273455,FALSE
"PONS","GSM395148","1209",0.981095066097608,1686.35444118769,FALSE
"PONS","GSM395213","4593",0.978737102808213,1678.51345234707,FALSE
"PONS","GSM395154","1496",0.974759906085477,1657.00555476074,FALSE
"CRBLM","GSM394809","4841",0.982009870372253,1618.1270681694,FALSE
"FCTX","GSM395054","2000",0.9798251482991,1594.11402107148,FALSE
"FCTX","GSM395085","1486",0.981440377791982,1593.80081872461,FALSE
"PONS","GSM395128","879",0.976652099293851,1592.43983117377,FALSE
"PONS","GSM395155","1502",0.978842687693948,1573.63136031338,FALSE
"FCTX","GSM394959","4729",0.98717351254449,1556.19361721708,FALSE
"PONS","GSM395195","1917",0.980176972060833,1555.17795519665,FALSE
"PONS","GSM395202","2000",0.978714234532298,1541.76700461824,FALSE
"TCTX","GSM395245","1839",0.977786510564057,1535.86730719916,FALSE
"TCTX","GSM395243","1584",0.982745965156681,1530.02765618827,FALSE
"PONS","GSM395219","4727",0.978191249924167,1512.43707103145,FALSE
"PONS","GSM395131","927",0.979323862215093,1508.35707956414,FALSE
"PONS","GSM395111","4789",0.977784465218873,1503.69054642909,FALSE
"TCTX","GSM395336","1883",0.978139992155385,1497.30016182309,FALSE
"CRBLM","GSM394851","1206",0.986577454037092,1493.75990622596,FALSE
"PONS","GSM395163","1578",0.97983804293031,1476.84433096579,FALSE
"PONS","GSM395166","1603",0.979619682692775,1469.99402212964,FALSE
"CRBLM","GSM394800","1361",0.988886048148266,1468.45025202974,FALSE
"FCTX","GSM395007","1496",0.981896273900492,1452.47796235781,FALSE
"CRBLM","GSM394903","1939",0.985018151599718,1440.53025233968,FALSE
"TCTX","GSM395355","4263",0.979267447894966,1439.12255865603,FALSE
"PONS","GSM395113","5086",0.980353855976643,1431.09753605909,FALSE
"CRBLM","GSM394817","5086",0.983437902249521,1428.84122697728,FALSE
"PONS","GSM395140","1079",0.980131364006205,1427.56830146864,FALSE
"FCTX","GSM395084","602",0.982461602038058,1410.60519640169,FALSE
"FCTX","GSM394951","1584",0.987160342329407,1399.98878808935,FALSE
"FCTX","GSM394963","4789",0.984279200293158,1398.47702381331,FALSE
"CRBLM","GSM394833","880",0.98307200815582,1395.05378744941,FALSE
"FCTX","GSM395071","4640",0.982765033993399,1391.60058156688,FALSE
"FCTX","GSM395090","1924",0.9828130943824,1389.02345336813,FALSE
"PONS","GSM395134","994",0.978934422105402,1386.58930010244,FALSE
"FCTX","GSM394982","914",0.984060389465518,1382.73769719531,FALSE
"PONS","GSM395235","4545",0.982182147959849,1362.04622973598,FALSE
"FCTX","GSM395089","1867",0.983589526294559,1356.71565491919,FALSE
"TCTX","GSM395348","2000",0.980195594642698,1353.99187911899,FALSE
"FCTX","GSM395081","5078",0.985258808507636,1353.48703480037,FALSE
"TCTX","GSM395372","5024",0.98116438719386,1352.63133567077,FALSE
"PONS","GSM395214","4598",0.980062591643663,1352.38828388317,FALSE
"PONS","GSM395221","4903",0.979953724026581,1351.88708623757,FALSE
"TCTX","GSM395331","1838",0.981309625934647,1340.88834053545,FALSE
"PONS","GSM395121","713",0.97981781557284,1333.94083352779,FALSE
"CRBLM","GSM394905","1961",0.990468053485307,1327.69117578942,FALSE
"PONS","GSM395142","1105",0.980575212507219,1318.71482978543,FALSE
"TCTX","GSM395317","1652",0.981171168504144,1317.37530391979,FALSE
"FCTX","GSM395042","1883",0.983325295934378,1315.04503247609,FALSE
"TCTX","GSM395286","1114",0.981957004919441,1314.21347433792,FALSE
"PONS","GSM395196","1924",0.980692190112869,1307.12019037886,FALSE
"FCTX","GSM394961","4786",0.984108892334891,1303.48582164239,FALSE
"FCTX","GSM395031","1775",0.984679205048747,1299.95984836447,FALSE
"PONS","GSM395171","1640",0.980066691206391,1285.31962573263,FALSE
"CRBLM","GSM394914","4540",0.987928276827187,1280.93179615185,FALSE
"CRBLM","GSM394840","1064",0.984235800700198,1276.2982488239,FALSE
