"tissue","sample","individual","r","outlier"
"CRBLM","GSM394819","142",0.986042146868859,FALSE
"CRBLM","GSM394820","384",0.991326073383049,FALSE
"CRBLM","GSM394934","602",0.991423874403666,FALSE
"CRBLM","GSM394821","604",0.987786321861352,FALSE
"CRBLM","GSM394822","705",0.987134308634803,FALSE
"CRBLM","GSM394823","710",0.989117807206358,FALSE
"CRBLM","GSM394824","712",0.993865339539585,FALSE
"CRBLM","GSM394825","713",0.989993513290994,FALSE
"CRBLM","GSM394826","719",0.990369160772607,FALSE
"CRBLM","GSM394827","745",0.992822472712882,FALSE
"CRBLM","GSM394828","813",0.995367836135238,FALSE
"CRBLM","GSM394829","819",0.989226309088714,FALSE
"CRBLM","GSM394830","827",0.915423358690062,FALSE
"CRBLM","GSM394831","871",0.988884972618515,FALSE
"CRBLM","GSM394832","879",0.992344398154343,FALSE
"CRBLM","GSM394833","880",0.983044252511356,FALSE
"CRBLM","GSM394834","914",0.994986334221027,FALSE
"CRBLM","GSM394835","927",0.992519195906221,FALSE
"CRBLM","GSM394836","933",0.989521617307897,FALSE
"CRBLM","GSM394837","993",0.990827460524451,FALSE
"CRBLM","GSM394838","994",0.994494991829616,FALSE
"CRBLM","GSM394839","1037",0.8718784505123,TRUE
"CRBLM","GSM394840","1064",0.983790964751231,FALSE
"CRBLM","GSM394841","1065",0.992151475216933,FALSE
"CRBLM","GSM394842","1076",0.926629564762219,FALSE
"CRBLM","GSM394843","1078",0.99086404649835,FALSE
"CRBLM","GSM394844","1079",0.992440176106737,FALSE
"CRBLM","GSM394845","1104",0.994238588592935,FALSE
"CRBLM","GSM394846","1105",0.994222466261144,FALSE
"CRBLM","GSM394847","1114",0.994442908504566,FALSE
"CRBLM","GSM394935","1133",0.970086952706811,FALSE
"CRBLM","GSM394848","1134",0.993221022877104,FALSE
"CRBLM","GSM394849","1136",0.991254553402519,FALSE
"CRBLM","GSM394797","1158",0.963499076418587,FALSE
"CRBLM","GSM394850","1170",0.992981090868551,FALSE
"CRBLM","GSM394851","1206",0.986517654916718,FALSE
"CRBLM","GSM394852","1209",0.990755961004651,FALSE
"CRBLM","GSM394853","1226",0.989885230200934,FALSE
"CRBLM","GSM394798","1230",0.978740295466618,FALSE
"CRBLM","GSM394854","1260",0.906109391633122,FALSE
"CRBLM","GSM394855","1326",0.992431213305766,FALSE
"CRBLM","GSM394799","1344",0.897689364570271,TRUE
"CRBLM","GSM394800","1361",0.988797085764969,FALSE
"CRBLM","GSM394856","1454",0.992726315430992,FALSE
"CRBLM","GSM394857","1465",0.987091995135147,FALSE
"CRBLM","GSM394858","1486",0.96410571052953,FALSE
"CRBLM","GSM394859","1496",0.987281225264803,FALSE
"CRBLM","GSM394801","1498",0.902621184675353,FALSE
"CRBLM","GSM394860","1502",0.989506829371909,FALSE
"CRBLM","GSM394861","1535",0.919111328863066,FALSE
"CRBLM","GSM394862","1544",0.985923095879172,FALSE
"CRBLM","GSM394863","1545",0.98909743151426,FALSE
"CRBLM","GSM394864","1556",0.99363709754822,FALSE
"CRBLM","GSM394865","1568",0.990937194056429,FALSE
"CRBLM","GSM394802","1570",0.875875801718696,TRUE
"CRBLM","GSM394866","1571",0.987439671640384,FALSE
"CRBLM","GSM394867","1578",0.993566394512663,FALSE
"CRBLM","GSM394868","1579",0.991448388090453,FALSE
"CRBLM","GSM394932","1583",0.983759875452334,FALSE
"CRBLM","GSM394803","1584",0.925628579380563,FALSE
"CRBLM","GSM394869","1595",0.992389716028965,FALSE
"CRBLM","GSM394870","1603",0.993416441181539,FALSE
"CRBLM","GSM394871","1611",0.991236998140495,FALSE
"CRBLM","GSM394872","1612",0.975995179373592,FALSE
"CRBLM","GSM394873","1613",0.960242995418044,FALSE
