"tissue","sample","individual","r","outlier"
"CRBLM","GSM401646","602",0.988363349657879,FALSE
"CRBLM","GSM401639","705",0.996683552463394,FALSE
"CRBLM","GSM401655","712",0.987037885735536,FALSE
"CRBLM","GSM401573","713",0.997547141673169,FALSE
"CRBLM","GSM401606","719",0.993162120130845,FALSE
"CRBLM","GSM401558","745",0.997547822824445,FALSE
"CRBLM","GSM401541","813",0.997084958958105,FALSE
"CRBLM","GSM401631","819",0.995129390375437,FALSE
"CRBLM","GSM401550","827",0.98556080660711,FALSE
"CRBLM","GSM401543","871",0.997390805252952,FALSE
"CRBLM","GSM401556","879",0.99767211153509,FALSE
"CRBLM","GSM401544","880",0.994163632640787,FALSE
"CRBLM","GSM401561","914",0.988259489040262,FALSE
"CRBLM","GSM401552","927",0.943348017327587,FALSE
"CRBLM","GSM401554","933",0.985525077615141,FALSE
"CRBLM","GSM401600","993",0.997682810499907,FALSE
"CRBLM","GSM401602","994",0.997302801710463,FALSE
"CRBLM","GSM401616","995",0.99272005138607,FALSE
"CRBLM","GSM401564","1028",0.927569065693668,FALSE
"CRBLM","GSM401598","1037",0.995614918834679,FALSE
"CRBLM","GSM401647","1064",0.985673231769676,FALSE
"CRBLM","GSM401611","1065",0.553626657491552,TRUE
"CRBLM","GSM401651","1078",0.988225852604791,FALSE
"CRBLM","GSM401548","1079",0.997066468128327,FALSE
"CRBLM","GSM401574","1105",0.997664245810548,FALSE
"CRBLM","GSM401643","1114",0.997178549164758,FALSE
"CRBLM","GSM401604","1133",0.986445942225055,FALSE
"CRBLM","GSM401638","1136",0.998045149581071,FALSE
"CRBLM","GSM401628","1158",0.996226958003761,FALSE
"CRBLM","GSM401549","1206",0.997201207748492,FALSE
"CRBLM","GSM401645","1209",0.986156962613259,FALSE
"CRBLM","GSM401578","1226",0.996875460711968,FALSE
"CRBLM","GSM401581","1230",0.975328412613426,FALSE
"CRBLM","GSM401603","1260",0.994650453469016,FALSE
"CRBLM","GSM401618","1344",0.986082497933884,FALSE
"CRBLM","GSM401568","1454",0.997199121846192,FALSE
"CRBLM","GSM401657","1486",0.986509039702158,FALSE
"CRBLM","GSM401644","1496",0.985851817157343,FALSE
"CRBLM","GSM401577","1498",0.963268392500617,FALSE
"CRBLM","GSM401579","1541",0.990345236783245,FALSE
"CRBLM","GSM401590","1545",0.996256844536354,FALSE
"CRBLM","GSM401609","1556",0.997286124337502,FALSE
"CRBLM","GSM401553","1568",0.987514552814959,FALSE
"CRBLM","GSM401586","1570",0.983277313248441,FALSE
"CRBLM","GSM401546","1571",0.98919557906023,FALSE
"CRBLM","GSM401575","1578",0.986389263687395,FALSE
"CRBLM","GSM401565","1579",0.997538547010672,FALSE
"CRBLM","GSM401605","1595",0.997410378175169,FALSE
