"tissue","sample","individual","cor","dev","outlier"
"FCTX","GSM394312","1556",0.78307839146893,1092.36048069057,TRUE
"FCTX","GSM394283","5078",0.857364141066111,702.781551873587,TRUE
"PONS","GSM394454","1556",0.857858337962186,699.836250475089,TRUE
"CRBLM","GSM394170","1556",0.897570936604181,511.320994956836,TRUE
"CRBLM","GSM394237","819",0.904909511301536,471.854563114628,TRUE
"CRBLM","GSM394226","1866",0.907935087434317,462.232540672441,TRUE
"CRBLM","GSM394200","1136",0.917397467638769,404.762284472783,TRUE
"TCTX","GSM394602","1612",0.92251103109467,392.111168523009,TRUE
"TCTX","GSM394676","4788",0.918396926287962,385.795353664659,TRUE
"TCTX","GSM394615","1556",0.926608164114061,352.328606259668,TRUE
"FCTX","GSM394335","1065",0.93730262852959,325.987618183649,TRUE
"FCTX","GSM394240","1105",0.941092057469115,286.389970651781,TRUE
"CRBLM","GSM394099","1134",0.940438071045035,285.735006102617,TRUE
"TCTX","GSM394659","1795",0.94190303478528,284.853453377405,TRUE
"FCTX","GSM394332","993",0.943377632987835,281.627148135994,TRUE
"TCTX","GSM394543","1105",0.941536120245563,277.557530155303,TRUE
"CRBLM","GSM394104","142",0.944432199805805,268.11718270361,TRUE
"PONS","GSM394438","1578",0.943603906821388,266.929952966286,TRUE
"TCTX","GSM394617","1595",0.944074447456088,265.530036526665,TRUE
"PONS","GSM394405","4545",0.945489583355456,257.623057551647,TRUE
"TCTX","GSM394678","5028",0.947140232391051,253.475854669098,FALSE
"PONS","GSM394490","1486",0.947543285084927,253.115799475854,FALSE
"PONS","GSM394393","1846",0.946372282011809,252.665892241795,FALSE
"PONS","GSM394402","4540",0.946822936337055,252.650031400555,FALSE
"PONS","GSM394396","1907",0.946957467724674,251.995968840994,FALSE
"PONS","GSM394427","5081",0.947826781035198,251.663947612093,FALSE
"PONS","GSM394440","1611",0.947849880520841,246.825994953859,FALSE
"TCTX","GSM394640","1078",0.950848596977885,244.168864577192,FALSE
"TCTX","GSM394554","1846",0.949513557685464,243.420504936157,FALSE
"PONS","GSM394404","4543",0.951459284229703,229.411004307211,FALSE
"PONS","GSM394435","1545",0.952270056717238,224.674659050772,FALSE
"PONS","GSM394382","1105",0.952335326154445,224.005122482121,FALSE
"TCTX","GSM394638","1065",0.957148241631605,216.628193469902,FALSE
"TCTX","GSM394562","4590",0.955056756591689,214.006504387501,FALSE
"TCTX","GSM394636","994",0.956182845457811,212.747679240286,FALSE
"CRBLM","GSM394176","1805",0.956410960668178,211.158771634848,FALSE
"PONS","GSM394474","993",0.956373744822091,209.334443367113,FALSE
"TCTX","GSM394544","1134",0.956354944254855,207.692282783298,FALSE
"PONS","GSM394383","1134",0.957483512601793,199.842201731268,FALSE
"CRBLM","GSM394231","4788",0.959038075625756,199.748131580696,FALSE
"CRBLM","GSM394178","1961",0.959339026171684,197.777686795253,FALSE
"FCTX","GSM394246","142",0.959502838083867,196.86194854603,FALSE
"PONS","GSM394398","2000",0.95891935434847,196.698570345048,FALSE
"TCTX","GSM394619","1640",0.960162952905834,190.980631330322,FALSE
"TCTX","GSM394547","4263",0.960778659229579,187.575065221404,FALSE
"FCTX","GSM394248","1583",0.962744605130136,181.350336389268,FALSE
"PONS","GSM394421","4915",0.962322452560115,181.313760357671,FALSE
"PONS","GSM394475","994",0.962852240500607,177.638556225331,FALSE
"TCTX","GSM394584","4924",0.963343049186114,176.312161221103,FALSE
"PONS","GSM394495","1713",0.96549982862171,168.79857453892,FALSE
"PONS","GSM394539","819",0.965577936055311,165.796282182977,FALSE
"PONS","GSM394530","1902",0.965269969763969,165.096068422135,FALSE
"TCTX","GSM394620","1775",0.965776887543391,164.945687847346,FALSE
"FCTX","GSM394361","1541",0.966781976741295,163.900193761616,FALSE
"CRBLM","GSM394102","4263",0.966308161502782,162.829145708291,FALSE
"CRBLM","GSM394191","994",0.967935681238921,155.527944212105,FALSE
"PONS","GSM394420","4903",0.967524697117683,155.40675304663,FALSE
"PONS","GSM394400","2069",0.968427094428279,154.927268662871,FALSE
"FCTX","GSM394299","1612",0.969483484359489,154.451811424351,FALSE
"CRBLM","GSM394164","1903",0.968679743673366,150.772365244191,FALSE
"PONS","GSM394510","1037",0.968814172840826,149.725236687098,FALSE
"FCTX","GSM394243","1209",0.969306390892039,149.473233675342,FALSE
"PONS","GSM394394","1849",0.969071801267474,147.531730678054,FALSE
"CRBLM","GSM394174","1640",0.96963886438305,147.196574667433,FALSE
"PONS","GSM394390","1583",0.9691944378391,146.498077995166,FALSE
"CRBLM","GSM394190","993",0.970557924829762,145.302218084387,FALSE
"PONS","GSM394384","4549",0.969410644661887,144.76954613356,FALSE
"TCTX","GSM394644","1133",0.97052389030575,141.825898669317,FALSE
"PONS","GSM394409","4640",0.970587509742888,140.169297137757,FALSE
"FCTX","GSM394345","1206",0.971150729414105,140.103233423182,FALSE
"CRBLM","GSM394206","1486",0.971706579135752,137.263356717449,FALSE
"PONS","GSM394431","1502",0.971584280368929,136.605206578478,FALSE
"FCTX","GSM394333","994",0.972489098594721,134.966661194672,FALSE
"PONS","GSM394428","5086",0.972410555688847,130.234511267857,FALSE
"CRBLM","GSM394106","1583",0.973550322950415,128.860543552354,FALSE
"PONS","GSM394417","927",0.973145939043472,127.489439035451,FALSE
"TCTX","GSM394635","993",0.973693879479911,127.161855769636,FALSE
"PONS","GSM394502","1795",0.973718053795032,124.554411543541,FALSE
"FCTX","GSM394310","1935",0.97475512485398,122.407876365891,FALSE
"TCTX","GSM394563","4540",0.974499282004679,121.456276808947,FALSE
"PONS","GSM394447","1710",0.974735825114471,120.886579382762,FALSE
"TCTX","GSM394548","1326",0.974682553537009,120.612162167068,FALSE
"TCTX","GSM394546","1209",0.975498503652254,118.100184065268,FALSE
"CRBLM","GSM394122","4593",0.975580011824366,118.073016986148,FALSE
"FCTX","GSM394280","4916",0.97593056491009,117.798808641968,FALSE
"TCTX","GSM394614","1939",0.975878125199954,116.813809296998,FALSE
"TCTX","GSM394560","2020",0.975721693278863,115.808980358969,FALSE
"TCTX","GSM394556","1883",0.975921887821628,115.736006776174,FALSE
"TCTX","GSM394555","1849",0.976051620873853,114.995020675722,FALSE
"PONS","GSM394458","1640",0.976150797430083,113.747779750685,FALSE
"TCTX","GSM394565","4543",0.97641613087994,112.93177807865,FALSE
"FCTX","GSM394263","4545",0.976836396410353,112.591024520961,FALSE
"PONS","GSM394399","2020",0.976227811005101,112.363077793353,FALSE
"PONS","GSM394437","1571",0.976445396137659,111.972421815056,FALSE
"TCTX","GSM394604","1614",0.977101725522241,110.282555904239,FALSE
"PONS","GSM394419","4842",0.976988044910975,109.699172932317,FALSE
"PONS","GSM394389","1465",0.97689739583193,109.569122226247,FALSE
"FCTX","GSM394270","4727",0.977677467890009,108.889042767917,FALSE
"TCTX","GSM394566","4545",0.977206115361836,108.583375936197,FALSE
"TCTX","GSM394671","1866",0.977581472482292,108.504725091027,FALSE
"CRBLM","GSM394168","1935",0.977628692544272,108.142958699342,FALSE
"PONS","GSM394535","5028",0.977623492242795,106.216148017795,FALSE
"TCTX","GSM394596","1545",0.97837856333254,104.6949751193,FALSE
"PONS","GSM394477","1065",0.978403965863541,104.347699461086,FALSE
"TCTX","GSM394551","1583",0.978332418180572,104.21278523391,FALSE
"PONS","GSM394488","1226",0.978006024303665,103.492723750783,FALSE
"PONS","GSM394401","4590",0.978395579419854,103.001450267403,FALSE
"CRBLM","GSM394114","2000",0.978871232831475,102.938514904235,FALSE
"TCTX","GSM394573","4727",0.978817446714145,102.802725535067,FALSE
"PONS","GSM394422","4916",0.978527418265221,102.387020167247,FALSE
"FCTX","GSM394358","1825",0.97988860323084,99.1163734299382,FALSE
"PONS","GSM394499","1792",0.979506368148773,98.8290233941605,FALSE
"TCTX","GSM394589","5086",0.979496328897247,98.6082066167294,FALSE
"TCTX","GSM394633","713",0.980340549132115,94.8291457941214,FALSE
"FCTX","GSM394260","4540",0.980733159465571,94.5587946689304,FALSE
"PONS","GSM394392","1840",0.980374549201709,93.4022331306896,FALSE
"FCTX","GSM394323","2102",0.981115178971681,93.288100530091,FALSE
"FCTX","GSM394241","1134",0.981076957071914,92.8340201693166,FALSE
"TCTX","GSM394637","995",0.981047706222974,91.4933195555968,FALSE
