"tissue","sample","individual","r","outlier"
"CRBLM","GSM394217","142",0.991153548464534,FALSE
"CRBLM","GSM394218","384",0.992056340386251,FALSE
"CRBLM","GSM394193","604",0.987232029184605,FALSE
"CRBLM","GSM394194","705",0.979832404191618,FALSE
"CRBLM","GSM394195","710",0.98823827361208,FALSE
"CRBLM","GSM394196","712",0.99575455290576,FALSE
"CRBLM","GSM394197","713",0.987736674201544,FALSE
"CRBLM","GSM394098","719",0.984783435910434,FALSE
"CRBLM","GSM394198","745",0.991420730071781,FALSE
"CRBLM","GSM394199","813",0.994893903473553,FALSE
"CRBLM","GSM394099","819",0.944508835611226,FALSE
"CRBLM","GSM394200","827",0.90620193585249,TRUE
"CRBLM","GSM394201","871",0.992795926997458,FALSE
"CRBLM","GSM394202","879",0.984012313993711,FALSE
"CRBLM","GSM394203","880",0.981286098223003,FALSE
"CRBLM","GSM394101","914",0.983509355422757,FALSE
"CRBLM","GSM394204","927",0.994127741985274,FALSE
"CRBLM","GSM394205","933",0.991530917912981,FALSE
"CRBLM","GSM394223","993",0.988584874015456,FALSE
"CRBLM","GSM394103","994",0.987584486992893,FALSE
"CRBLM","GSM394104","1037",0.953155373066685,FALSE
"CRBLM","GSM394146","1064",0.985509910476483,FALSE
"CRBLM","GSM394105","1065",0.985574128951443,FALSE
"CRBLM","GSM394206","1076",0.971647516372182,FALSE
"CRBLM","GSM394207","1078",0.984650980595707,FALSE
"CRBLM","GSM394208","1079",0.9941599097977,FALSE
"CRBLM","GSM394147","1104",0.99072970966768,FALSE
"CRBLM","GSM394148","1105",0.992556956704347,FALSE
"CRBLM","GSM394149","1114",0.992888416457902,FALSE
"CRBLM","GSM394219","1133",0.988782389186468,FALSE
"CRBLM","GSM394150","1134",0.994673586025671,FALSE
"CRBLM","GSM394151","1136",0.991207179494747,FALSE
"CRBLM","GSM394170","1158",0.856461089330914,TRUE
"CRBLM","GSM394152","1170",0.991644488731183,FALSE
"CRBLM","GSM394209","1206",0.977053530020704,FALSE
"CRBLM","GSM394153","1209",0.992582126571985,FALSE
"CRBLM","GSM394154","1226",0.990910000441929,FALSE
"CRBLM","GSM394171","1230",0.993057763814247,FALSE
"CRBLM","GSM394106","1260",0.972537122992971,FALSE
"CRBLM","GSM394155","1326",0.992840343165941,FALSE
"CRBLM","GSM394172","1344",0.980247872301065,FALSE
"CRBLM","GSM394173","1361",0.993770781423959,FALSE
"CRBLM","GSM394156","1454",0.993937973376622,FALSE
"CRBLM","GSM394157","1465",0.993671044217121,FALSE
"CRBLM","GSM394158","1486",0.994412356693917,FALSE
"CRBLM","GSM394159","1496",0.989639672683727,FALSE
"CRBLM","GSM394174","1498",0.964192660668049,FALSE
"CRBLM","GSM394160","1502",0.993391808012386,FALSE
"CRBLM","GSM394161","1535",0.982359690825036,FALSE
"CRBLM","GSM394162","1540",0.980835432815106,FALSE
"CRBLM","GSM394163","1544",0.995148278783768,FALSE
"CRBLM","GSM394210","1545",0.989858036113728,FALSE
"CRBLM","GSM394211","1556",0.994276459700208,FALSE
"CRBLM","GSM394212","1568",0.980676610646971,FALSE
"CRBLM","GSM394175","1570",0.989447075862339,FALSE
"CRBLM","GSM394213","1571",0.986273342795031,FALSE
"CRBLM","GSM394214","1578",0.989021777854971,FALSE
"CRBLM","GSM394215","1579",0.984088488489244,FALSE
"CRBLM","GSM394176","1584",0.960612408204105,FALSE
"CRBLM","GSM394216","1595",0.983601097622211,FALSE
"CRBLM","GSM394220","1603",0.993206976407156,FALSE
"CRBLM","GSM394221","1611",0.992460907741019,FALSE
"CRBLM","GSM394222","1612",0.989646882313135,FALSE
"CRBLM","GSM394107","1613",0.98307163560623,FALSE
"CRBLM","GSM394108","1614",0.980558444742852,FALSE
"CRBLM","GSM394109","1640",0.990397634539213,FALSE
"CRBLM","GSM394110","1652",0.988052520166021,FALSE
"CRBLM","GSM394224","1668",0.987814937993999,FALSE
"CRBLM","GSM394225","1672",0.977036792404881,FALSE
"CRBLM","GSM394226","1710",0.88816941948859,TRUE
"CRBLM","GSM394227","1712",0.987931790273843,FALSE
"CRBLM","GSM394111","1713",0.983926543559913,FALSE
"CRBLM","GSM394228","1775",0.983381262284232,FALSE
"CRBLM","GSM394164","1792",0.972251763923251,FALSE
"CRBLM","GSM394112","1795",0.988701503251891,FALSE
"CRBLM","GSM394165","1797",0.993818078456298,FALSE
"CRBLM","GSM394166","1802",0.99507793888997,FALSE
"CRBLM","GSM394177","1805",0.990287946682723,FALSE
"CRBLM","GSM394168","1825",0.979959146371467,FALSE
"CRBLM","GSM394167","1827",0.991657824172134,FALSE
"CRBLM","GSM394169","1830",0.986831186754067,FALSE
"CRBLM","GSM394113","1838",0.988637913502078,FALSE
"CRBLM","GSM394178","1839",0.961120346213532,FALSE
"CRBLM","GSM394114","1840",0.9798096224309,FALSE
"CRBLM","GSM394115","1846",0.977883597031535,FALSE
"CRBLM","GSM394179","1847",0.98748150305586,FALSE
"CRBLM","GSM394230","1849",0.988177327431241,FALSE
"CRBLM","GSM394116","1862",0.97978742929263,FALSE
"CRBLM","GSM394180","1865",0.991520299591202,FALSE
"CRBLM","GSM394181","1866",0.989846157275331,FALSE
"CRBLM","GSM394184","1867",0.993427400643191,FALSE
"CRBLM","GSM394102","1883",0.967354881474309,FALSE
"CRBLM","GSM394118","1889",0.98661783448572,FALSE
"CRBLM","GSM394119","1902",0.980361141612146,FALSE
"CRBLM","GSM394120","1903",0.984042651419544,FALSE
"CRBLM","GSM394121","1907",0.9871372101273,FALSE
"CRBLM","GSM394100","1909",0.988224375394703,FALSE
"CRBLM","GSM394117","1917",0.98219545315785,FALSE
"CRBLM","GSM394122","1924",0.973419517141758,FALSE
"CRBLM","GSM394123","1935",0.997149202296757,FALSE
"CRBLM","GSM394124","1936",0.99272697607305,FALSE
"CRBLM","GSM394125","1939",0.979415686660264,FALSE
"CRBLM","GSM394126","1940",0.993642215157958,FALSE
"CRBLM","GSM394127","1961",0.987925934276955,FALSE
"CRBLM","GSM394128","2000",0.994369442951057,FALSE
"CRBLM","GSM394129","2020",0.989835564167613,FALSE
"CRBLM","GSM394130","2037",0.988431515001445,FALSE
"CRBLM","GSM394131","2066",0.994800721355016,FALSE
"CRBLM","GSM394231","2069",0.960368581168221,FALSE
"CRBLM","GSM394232","2093",0.984131050968943,FALSE
"CRBLM","GSM394134","2102",0.988176101758983,FALSE
"CRBLM","GSM394135","4263",0.986734453197654,FALSE
"CRBLM","GSM394136","4540",0.983483110650777,FALSE
"CRBLM","GSM394137","4542",0.986311287340375,FALSE
"CRBLM","GSM394138","4543",0.989317019783975,FALSE
"CRBLM","GSM394139","4545",0.990965813898021,FALSE
"CRBLM","GSM394140","4549",0.991462710674737,FALSE
"CRBLM","GSM394233","4590",0.984043356321335,FALSE
"CRBLM","GSM394141","4593",0.993794250122031,FALSE
"CRBLM","GSM394142","4598",0.993112721683947,FALSE
"CRBLM","GSM394143","4636",0.988747508478392,FALSE
"CRBLM","GSM394144","4640",0.991006339612676,FALSE
"CRBLM","GSM394145","4725",0.98933113159881,FALSE
"CRBLM","GSM394234","4726",0.979678459998674,FALSE
"CRBLM","GSM394235","4727",0.986420015783904,FALSE
"CRBLM","GSM394185","4729",0.990587231366996,FALSE
"CRBLM","GSM394186","4782",0.990072836646668,FALSE
"CRBLM","GSM394187","4786",0.991177606568011,FALSE
"CRBLM","GSM394188","4788",0.987684461700401,FALSE
"CRBLM","GSM394189","4789",0.992492511147109,FALSE
"CRBLM","GSM394182","4841",0.992855668085956,FALSE
"CRBLM","GSM394236","4842",0.99004021107916,FALSE
"CRBLM","GSM394237","4903",0.896782535916595,TRUE
"CRBLM","GSM394183","4915",0.988050603569291,FALSE
"CRBLM","GSM394238","4916",0.991997572619878,FALSE
"CRBLM","GSM394239","4924",0.989094853935959,FALSE
"CRBLM","GSM394229","5024",0.991807377783713,FALSE
"CRBLM","GSM394132","5028",0.994588047096429,FALSE
"CRBLM","GSM394133","5078",0.99505690551789,FALSE
"CRBLM","GSM394190","5081",0.972182236885126,FALSE
"CRBLM","GSM394191","5086",0.969561379530116,FALSE
"CRBLM","GSM394192","5087",0.993860838241737,FALSE
"FCTX","GSM394359","142",0.990916859090766,FALSE
"FCTX","GSM394360","384",0.989451817924575,FALSE
"FCTX","GSM394335","604",0.902635093689419,TRUE
"FCTX","GSM394336","705",0.983985738553733,FALSE
"FCTX","GSM394337","710",0.989385997383598,FALSE
"FCTX","GSM394338","712",0.989643997331892,FALSE
"FCTX","GSM394339","713",0.987277901064362,FALSE
"FCTX","GSM394240","719",0.944771667754739,FALSE
"FCTX","GSM394340","745",0.990490819349451,FALSE
"FCTX","GSM394341","813",0.991000210230283,FALSE
"FCTX","GSM394241","819",0.976037802392682,FALSE
"FCTX","GSM394342","827",0.992542074097622,FALSE
"FCTX","GSM394343","871",0.993467739829713,FALSE
"FCTX","GSM394344","879",0.986008439385934,FALSE
"FCTX","GSM394345","880",0.973017438697804,FALSE
"FCTX","GSM394243","914",0.967356358292939,FALSE
"FCTX","GSM394346","927",0.98978705762461,FALSE
"FCTX","GSM394347","933",0.985616441827007,FALSE
"FCTX","GSM394365","993",0.990741042309849,FALSE
"FCTX","GSM394245","994",0.98793615608065,FALSE
"FCTX","GSM394246","1037",0.962863156511783,FALSE
"FCTX","GSM394288","1064",0.987818954843869,FALSE
"FCTX","GSM394247","1065",0.989645233523057,FALSE
"FCTX","GSM394348","1076",0.992702277857203,FALSE
"FCTX","GSM394349","1078",0.970844204762218,FALSE
"FCTX","GSM394350","1079",0.994190185941265,FALSE
"FCTX","GSM394289","1104",0.991378476079164,FALSE
"FCTX","GSM394290","1105",0.991752508627715,FALSE
"FCTX","GSM394291","1114",0.993317170640741,FALSE
"FCTX","GSM394361","1133",0.956282192184839,FALSE
"FCTX","GSM394292","1134",0.992579820908713,FALSE
"FCTX","GSM394293","1136",0.977579150204223,FALSE
"FCTX","GSM394312","1158",0.720576415270751,TRUE
"FCTX","GSM394294","1170",0.993845443596462,FALSE
"FCTX","GSM394351","1206",0.988542667246977,FALSE
"FCTX","GSM394295","1209",0.974381630600021,FALSE
"FCTX","GSM394296","1226",0.993200001376803,FALSE
"FCTX","GSM394313","1230",0.992659549228407,FALSE
"FCTX","GSM394248","1260",0.962722220701482,FALSE
"FCTX","GSM394297","1326",0.99180841381797,FALSE
"FCTX","GSM394314","1344",0.98053450956608,FALSE
"FCTX","GSM394315","1361",0.993456607373032,FALSE
"FCTX","GSM394298","1454",0.992566396943417,FALSE
"FCTX","GSM394299","1465",0.949215127389394,FALSE
"FCTX","GSM394300","1486",0.986832593813065,FALSE
"FCTX","GSM394301","1496",0.992240862783111,FALSE
"FCTX","GSM394316","1498",0.979122766991311,FALSE
