"id","symbol","chr","position","strand","product","tissue","statistic","dm","p.value","q.value"
"cg15915418","TLE1","9",83493421,"-","transducin-like enhancer protein 1","FCTX",-52.0655231912469,-0.38386706488021,6.11837746761581e-89,1.46596324124075e-85
"cg15915418","TLE1","9",83493421,"-","transducin-like enhancer protein 1","TCTX",-53.2417025306503,-0.37159042929285,2.60474754678639e-86,6.2409751221002e-83
"cg15915418","TLE1","9",83493421,"-","transducin-like enhancer protein 1","PONS",-38.1349332402834,-0.368962431600386,1.28721979438861e-65,3.08417862735511e-62
"cg15915418","TLE1","9",83493421,"-","transducin-like enhancer protein 1","CRBLM",-34.7853323326225,-0.383442080840117,7.70307359132332e-61,1.84565643248107e-57
"cg20050113","SLC9A2","2",102603293,"+","solute carrier family 9 (sodium/hydrogen exchanger); isoform 2","TCTX",-6.97605220123147,-0.082580115032617,1.69449904129028e-10,2.03000985146575e-07
"cg20050113","SLC9A2","2",102603293,"+","solute carrier family 9 (sodium/hydrogen exchanger); isoform 2","FCTX",-6.59004197705276,-0.083725448654305,9.97507220065875e-10,1.19501364963892e-06
"cg20050113","SLC9A2","2",102603293,"+","solute carrier family 9 (sodium/hydrogen exchanger); isoform 2","PONS",-6.34740301756893,-0.0916223992739885,4.91612247692087e-09,5.8895147273512e-06
"cg08942800","CRISP2","6",49789269,"-","cysteine-rich secretory protein 2","FCTX",-6.26609982263917,-0.124397608983451,5.02047211415674e-09,4.00968372850652e-06
"cg08942800","CRISP2","6",49789269,"-","cysteine-rich secretory protein 2","PONS",-5.8554711883992,-0.115808456621158,4.92150097985551e-08,3.93063878257794e-05
"cg08942800","CRISP2","6",49789269,"-","cysteine-rich secretory protein 2","TCTX",-5.58988504124281,-0.1103918955828,1.41085922902379e-07,0.000112680623758033
"cg08942800","CRISP2","6",49789269,"-","cysteine-rich secretory protein 2","CRBLM",-5.44561332792924,-0.135068877021049,3.22175424803733e-07,0.000385966158914872
"cg05358404","RTEL1","20",61759394,"+","regulator of telomere elongation helicase 1 isoform 1","TCTX",-4.99441446568775,-0.0748223020567718,1.99019362325555e-06,0.00119212598033008
"cg26207503","MYF5","12",79634880,"+","myogenic factor 5","CRBLM",-4.5838283585293,-0.0761428602485634,1.2228173468958e-05,0.00811348378727874
"cg02085507","TRIP10","19",6690192,"+","thyroid hormone receptor interactor 10","TCTX",-4.54350793652922,-0.0535440839743781,1.31065869658494e-05,0.00628067647403503
"cg18135555","PIWIL2","8",22188937,"+","piwi-like 2","CRBLM",-4.55827392322444,-0.135664470799903,1.35450480588961e-05,0.00811348378727874
"cg12875426","DYM","18",45241530,"-","dymeclin","PONS",-4.55113127523768,-0.0474092665492555,1.37230044420586e-05,0.00751950395365272
"cg09432376","APOL6","22",34374172,"","apolipoprotein L6","PONS",-4.51756875826475,-0.0633387241082829,1.56917862137995e-05,0.00751950395365272
"cg18135555","PIWIL2","8",22188937,"+","piwi-like 2","TCTX",-4.3793780264747,-0.106543536739433,2.53123612962981e-05,0.0101080696109884
"cg04969878","TMEM19","12",70365507,"+","transmembrane protein 19","PONS",-4.33006166764712,-0.0587948236271813,3.28133487205277e-05,0.0131034639223974
"cg24898863","S100A8","1",151630204,"","S100 calcium-binding protein A8","PONS",-4.21915943376615,-0.0348939341556059,5.02954028082595e-05,0.0155230002240311
"cg27277403","KMO","1",239761557,"","kynurenine 3-monooxygenase","PONS",-4.20306006609238,-0.0233335112684902,5.34810639640949e-05,0.0155230002240311
"cg05358404","RTEL1","20",61759394,"+","regulator of telomere elongation helicase 1 isoform 1","PONS",-4.18033902006328,-0.0699703643713872,5.83084315593824e-05,0.0155230002240311
"cg26207503","MYF5","12",79634880,"+","myogenic factor 5","PONS",-4.10620221913532,-0.0543037982336942,7.71411109611223e-05,0.0155720718007516
"cg14506552","NPPB","1",11841541,"-","natriuretic peptide precursor B","PONS",4.10374868767408,0.0444861938593811,7.78546932417318e-05,0.0155720718007516
"cg26545162","LGICZ1","17",71586687,"","ligand-gated ion channel subunit","PONS",-4.10328471788623,-0.0579710383364127,7.79903429086057e-05,0.0155720718007516
"cg26207503","MYF5","12",79634880,"+","myogenic factor 5","TCTX",-4.05167983979825,-0.0476198451646506,8.98251088289727e-05,0.0290043371259242
"cg19668234","TSP50","3",46734453,"-","testes-specific protease 50","PONS",4.05610126330384,0.0795449548064293,9.30330417721312e-05,0.0171467052373866
"cg14871138","NTSR1","20",60811330,"+","neurotensin receptor 1","TCTX",4.0316693634244,0.0327030545089181,9.68425279663579e-05,0.0290043371259242
"cg18345369","PRSS22","16",2847860,"-","protease; serine; 22","FCTX",3.90069440591343,0.0747138235981506,0.000153061079520597,0.0651744428689196
"cg18135555","PIWIL2","8",22188937,"+","piwi-like 2","FCTX",-3.87182721311604,-0.0886713550994125,0.00017024671796115,0.0651744428689196
"cg05358404","RTEL1","20",61759394,"+","regulator of telomere elongation helicase 1 isoform 1","FCTX",-3.86822792337379,-0.0722428718040148,0.000172513971594253,0.0651744428689196
"cg06200339","SOX30","5",157011982,"-","SRY (sex determining region Y)-box 30 isoform a","PONS",-3.87836577910335,-0.054870657346138,0.000178633720176283,0.0305718852530267
"cg14506552","NPPB","1",11841541,"-","natriuretic peptide precursor B","FCTX",3.84130201286536,0.0452313703857981,0.000190409474157945,0.0651744428689196
"cg23018448","QTRT1","19",10672855,"+","queuine tRNA-ribosyltransferase 1 (tRNA-guanine transglycosylase)","PONS",-3.79953730813997,-0.0387830367565223,0.000237103243887576,0.0364818342906948
"cg01443630","CLCN7","16",1465699,"-","chloride channel 7","PONS",-3.79193416360104,-0.0417122664983332,0.000243618259036359,0.0364818342906948
"cg07294734","ATP5D","19",1193323,"+","ATP synthase; H+ transporting; mitochondrial F1 complex; delta subunit precursor","PONS",-3.76398197572727,-0.0330349391413487,0.000269063331362459,0.0367444531724652
"cg09604428","PB1","3",52696317,"","polybromo 1 isoform 2","PONS",-3.7567532685952,-0.064148802834219,0.000276043471245565,0.0367444531724652
"cg19668234","TSP50","3",46734453,"-","testes-specific protease 50","CRBLM",3.75470896561976,0.0749992052887129,0.000280280190890252,0.134310267474609
"cg22496683","MGC27016","4",155922060,"+","hypothetical protein LOC166863","FCTX",-3.68912390677237,-0.0609453002919856,0.000329622007494607,0.0987217912446349
"cg10412312","FLJ36004","12",25597128,"","hypothetical protein FLJ36004","PONS",-3.70469530916322,-0.0521681552821389,0.000331632596045214,0.0418206157960175
"cg20029201","BCL9L","11",118287023,"-","B-cell CLL/lymphoma 9-like","PONS",3.65667441968025,0.0615590295209453,0.000392188613478936,0.0464440279277198
"cg04432009","LYL1","19",13074688,"-","lymphoblastic leukemia derived sequence 1","PONS",3.64334821180138,0.0383279366678639,0.000410766080299302,0.0464440279277198
"cg11504740","GPR152","11",66976619,"","G protein-coupled receptor 152","PONS",-3.63253615500146,-0.0688154515350771,0.000426447668785407,0.0464440279277198
"cg09276451","SLITL2","16",4361604,"+","slit-like 2","PONS",3.57948993262127,0.0342231109681276,0.000511942396295105,0.0533310426749162
"cg14506552","NPPB","1",11841541,"-","natriuretic peptide precursor B","TCTX",3.56758845712307,0.0333697825281528,0.000515840877255406,0.137328304655995
"cg00217795","DIO2","14",79747441,"-","deiodinase; iodothyronine; type II isoform a","PONS",-3.53729461596554,-0.046224323644365,0.000591258771970063,0.0590273340683446
"cg14292823","TIGD5","8",144752240,"+","tigger transposable element derived 5","TCTX",3.52033608373215,0.0365558977473261,0.000606775719006499,0.145383462273957
"cg02085507","TRIP10","19",6690192,"+","thyroid hormone receptor interactor 10","PONS",-3.52452978501743,-0.0634583957403433,0.000617451130059873,0.0591765163049383
"cg21104946","WNT7B","22",44752194,"-","wingless-type MMTV integration site family; member 7B precursor","FCTX",3.49869316201029,0.0400318753125984,0.000640721172441377,0.170574214352171
"cg04713352","ATP4A","19",40746853,"","ATPase; H+/K+ exchanging; alpha polypeptide","TCTX",-3.47493503201309,-0.0271021942045838,0.000708205047463951,0.151131400172071
"cg11393848","C1QC","1",22841927,"","complement component 1; q subcomponent; gamma polypeptide","PONS",-3.46852116961105,-0.0410127789480242,0.000745851055897772,0.0662406725903048
"cg23902550","TIGD5","8",144752249,"+","tigger transposable element derived 5","PONS",3.46828122364918,0.0350671783002048,0.00074645165272881,0.0662406725903048
"cg13726463","COX6A2","16",31347182,"-","cytochrome c oxidase subunit VIa polypeptide 2 precursor","TCTX",-3.45526838622212,-0.0352767125815234,0.000756918531746598,0.151131400172071
"cg12029639","MAB21L1","13",34948993,"-","mab-21-like protein 1","PONS",-3.436441141952,-0.0425814456244233,0.00083031379367492,0.0710511374873253
"cg16626670","CLEC4G","19",7703031,"","C-type lectin superfamily 4; member G","CRBLM",3.40432256766509,0.053852675017731,0.000929104528051481,0.371022408201892
"cg06196379","TREM1","6",41362863,"","triggering receptor expressed on myeloid cells 1","FCTX",-3.38738225070697,-0.0324679917231886,0.000934011273734052,0.222971184863309
"cg15633390","EIF4E","4",100070234,"-","eukaryotic translation initiation factor 4E","PONS",-3.36755976154292,-0.0512034012806525,0.00104297390584469,0.0837929438038903
"cg06771126","HOP","4",57242456,"","homeodomain-only protein","PONS",-3.36576040743819,-0.0485650318110797,0.00104916039821232,0.0837929438038903
"cg02085507","TRIP10","19",6690192,"+","thyroid hormone receptor interactor 10","FCTX",-3.33434909175885,-0.0428924116945106,0.00111431602047282,0.222971184863309
"cg08993557","HBII-437","15",22782419,"","","FCTX",-3.33369865809494,-0.0394846349941273,0.00111671711951574,0.222971184863309
"cg14871138","NTSR1","20",60811330,"+","neurotensin receptor 1","PONS",3.33079134417781,0.0350552107602128,0.00117643962295909,0.0909273979551606
"cg23902550","TIGD5","8",144752249,"+","tigger transposable element derived 5","TCTX",3.31854189038218,0.0215631623803344,0.00119317571562743,0.218162549970783
"cg18135555","PIWIL2","8",22188937,"+","piwi-like 2","PONS",-3.31138925685504,-0.0930231310254731,0.00125315752663209,0.0938301698065781
"cg26207503","MYF5","12",79634880,"+","myogenic factor 5","FCTX",-3.28441270863627,-0.042824329869724,0.00131339990671456,0.230643649038135
"cg22496683","MGC27016","4",155922060,"+","hypothetical protein LOC166863","TCTX",-3.28600126092121,-0.0589475575671976,0.00132713694052826,0.218162549970783
"cg08666623","ST6GALNAC2","17",72094278,"","sialyltransferase 7","FCTX",-3.27653903769151,-0.0426473133336056,0.00134766739838643,0.230643649038135
"cg26955850","OXT","20",3000345,"+","oxytocin-neurophysin I preproprotein","TCTX",-3.27718199907937,-0.0261177188024345,0.00136579225774697,0.218162549970783
"cg18665384","FLJ43505","1",220976632,"","hypothetical protein LOC400823","PONS",3.2413664844135,0.0300453556153879,0.00157072088636853,0.114043855870879
"cg25787984","DKK3","11",11988084,"","dickkopf homolog 3 precursor","CRBLM",3.241703074817,0.065856965318215,0.00157659219493181,0.539644985579516
"cg23555120","NUAK1","12",105057993,"-","AMPK-related protein kinase 5","PONS",3.21029638056486,0.0431944988964253,0.00173443520860983,0.119776491658974
"cg01643580","KCNK3","2",26769903,"+","potassium channel; subfamily K; member 3","PONS",3.20348603502997,0.0254696907832431,0.0017723839720556,0.119776491658974
"cg19342782","ANKRD13C","1",70594394,"","ankyrin repeat domain 13C","PONS",-3.19154042242016,-0.0450104033896774,0.00184082197467774,0.119776491658974
"cg14871138","NTSR1","20",60811330,"+","neurotensin receptor 1","CRBLM",3.19284886641844,0.0404762883757482,0.00184159091087243,0.551556477806291
"cg06258834","KLK7","19",56178948,"","stratum corneum chymotryptic enzyme preproprotein","PONS",3.18460430326118,0.0497475614274143,0.00188168114237925,0.119776491658974
