"id","tissue.pair","r","n","pvalue","qvalue"
"cg00000292","CRBLM-FCTX",0.576920504386992,102,2.20378161432942e-10,3.27080245924209e-09
"cg00002426","CRBLM-FCTX",0.0876546410373727,102,0.381005160461204,0.608207693180071
"cg00005847","CRBLM-FCTX",0.133517388949309,102,0.180948966747572,0.376481996070411
"cg00019495","CRBLM-FCTX",0.121915608358327,102,0.222210414257578,0.432793539397027
"cg00027083","CRBLM-FCTX",-0.00541733727205385,102,0.956904484498624,0.980160897051604
"cg00027674","CRBLM-FCTX",0.275270137329772,102,0.0051080410075281,0.0226390869650649
"cg00030047","CRBLM-FCTX",0.100335081765517,102,0.315677318343306,0.543711576581015
"cg00031162","CRBLM-FCTX",-0.0680430934379923,101,0.498979028512179,0.710906644542287
"cg00035347","CRBLM-FCTX",-0.0545914203932804,102,0.585782498099904,0.773021923491433
"cg00042156","CRBLM-FCTX",0.166885562855956,102,0.0936466350997586,0.233646537540189
"cg00043004","CRBLM-FCTX",0.245405412413328,102,0.012916318307296,0.0492900999684446
"cg00061629","CRBLM-FCTX",0.0561441312922062,102,0.575150751002224,0.765246032976026
"cg00073650","CRBLM-FCTX",0.0673711814557445,78,0.557831022448732,0.75441393155237
"cg00075967","CRBLM-FCTX",0.129615439407509,102,0.194148886919535,0.394522651495936
"cg00077877","CRBLM-FCTX",0.121715560924003,102,0.222975728690227,0.433563916897664
"cg00083937","CRBLM-FCTX",0.00505275079191624,102,0.95980230483097,0.981140542645434
"cg00095526","CRBLM-FCTX",0.145059114232023,102,0.145759098244719,0.323201283560025
"cg00132141","CRBLM-FCTX",0.1675363261647,102,0.0923559734342862,0.232194736678269
"cg00135393","CRBLM-FCTX",0.160761694444383,102,0.106501299883025,0.257204478090312
"cg00136405","CRBLM-FCTX",0.0848402011539005,102,0.396541677972391,0.619720249813567
"cg00138126","CRBLM-FCTX",-0.12306245777622,102,0.217858702222698,0.426087286665743
"cg00141162","CRBLM-FCTX",0.167776620913436,102,0.0918829681506403,0.231209771640531
"cg00169548","CRBLM-FCTX",0.0437522670692055,102,0.662372811097112,0.824450234619282
"cg00174500","CRBLM-FCTX",-0.0597417378720533,102,0.550868683745691,0.749386862499749
"cg00176210","CRBLM-FCTX",-0.136308232933326,102,0.171918765187682,0.361406996293245
"cg00185103","CRBLM-FCTX",0.312601637531538,102,0.00138012257728207,0.00727278077241899
"cg00186701","CRBLM-FCTX",0.193094358431789,102,0.0518395412189148,0.149333115763516
"cg00186954","CRBLM-FCTX",0.451776142965885,102,1.8772930904667e-06,1.71190765613963e-05
"cg00214794","CRBLM-FCTX",0.00613152337667687,102,0.951229623210137,0.977785964738641
"cg00217795","CRBLM-FCTX",0.0472591183592845,102,0.637158815689197,0.806334281052977
"cg00226923","CRBLM-FCTX",0.229653873910156,102,0.0202366753729559,0.0711469321582934
"cg00231644","CRBLM-FCTX",0.366498237755009,102,0.000151535355306009,0.00100098706533124
"cg00237010","CRBLM-FCTX",-0.0475429853035584,102,0.635135325433071,0.80475322094152
"cg00260778","CRBLM-FCTX",0.184524969849246,102,0.063365254634444,0.173486890972295
"cg00283535","CRBLM-FCTX",0.331198635125549,102,0.000673331357473565,0.00383243211960075
